filename,width,height,class,xmin,ymin,xmax,ymax
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,wax-sealed-honey-cells,60,108,219,305
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,wax-sealed-honey-cells,218,106,375,240
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,wax-sealed-honey-cells,379,112,592,254
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,nectar,63,214,618,424
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,empty-cells,10,114,61,440
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,empty-cells,20,431,352,531
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,empty-cells,475,411,627,509
BEE_HOPE-ZAVIAL-2016_05_14-BL6_Z-DSC_2397_JPG.rf.1594ab72db92ad7ba82ccb1290b69e9c.jpg,640,640,empty-cells,365,376,418,503
Screenshot-2024-06-11-155007_png.rf.1740cb716391e2fbed5776965db6afb2.jpg,640,640,1-egg,35,215,564,608
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,530,344,597,418
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,585,379,636,488
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,316,415,393,498
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,381,449,448,527
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,165,446,231,518
Screenshot-2024-06-25-120628_png.rf.16d3d5a30423dd1d67f99cb678a2b146.jpg,640,640,small-hive-beetle,38,417,104,500
Screenshot-2024-06-25-121844_png.rf.15daa5671f5d9cd181ca998b1cc9ba07.jpg,640,640,small-hive-beetle,549,267,599,347
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,multiple-eggs,47,365,352,585
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,multiple-eggs,173,214,616,350
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,multiple-eggs,96,117,188,219
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,multiple-eggs,394,0,601,72
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,pollen,211,98,559,220
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,pollen,340,349,622,623
Screenshot-2024-06-11-154016_png.rf.16585f0070438b7d096e1d1975fa8373.jpg,640,640,pollen,0,249,115,467
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,214,406,243,430
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,214,314,237,352
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,49,487,70,517
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,206,576,245,612
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,270,180,290,208
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,523,208,539,233
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,571,97,585,116
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,564,30,581,57
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,557,402,580,428
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,442,514,476,541
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,50,268,65,291
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,111,198,133,228
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,107,308,124,341
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,495,3,519,32
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,637,509,640,537
Screenshot-2024-06-25-143902_png.rf.16257c91d40258a24da31081d718d599.jpg,640,640,american-foulbrood,554,531,591,559
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,271,253,391,403
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,varroa-mites,337,267,369,301
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,386,288,481,407
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,161,188,267,326
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,258,85,378,216
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,149,37,263,143
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,332,0,447,136
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,460,19,547,102
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,246,0,331,96
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,0,158,91,376
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,582,276,640,397
Screenshot-2024-06-25-130339_png.rf.167e71019d99f7f13047bd814b3cb014.jpg,640,640,bee-larvae,590,391,640,494
images-4-_jpeg.rf.15b426e1135fbe91af4eddfe849241e3.jpg,640,640,swarm cells,233,271,349,335
images-16-_jpeg.rf.16c1df34f80aca8c2a62ef3f7ae22dee.jpg,640,640,chalk-brood,217,102,543,462
